x,y,r,g,b
0,0,0.0841503, 0.174159, 0.341157
0,1,0.0832159, 0.280783, 0.322177
0,2,0.0697085, 0.389246, 0.284205
0,3,0.0632947, 0.472546, 0.253935
0,4,0.0640745, 0.54265, 0.185057
0,5,0.0626232, 0.525935, 0.130649
0,6,0.0752616, 0.433508, 0.0780901
0,7,0.0805375, 0.329599, 0.0443221
0,8,0.0880553, 0.219277, 0.0217697
0,9,0.0810755, 0.121236, 0.0147518
1,0,0.0831183, 0.322, 0.41538
1,1,0.103711, 0.429278, 0.442501
1,2,0.0867342, 0.546276, 0.417501
1,3,0.077502, 0.624762, 0.377957
1,4,0.101858, 0.717962, 0.304384
1,5,0.120856, 0.721124, 0.219891
1,6,0.157265, 0.613953, 0.130948
1,7,0.179788, 0.518361, 0.0811053
1,8,0.176864, 0.384546, 0.0360155
1,9,0.176066, 0.239293, 0.0221519
2,0,0.0927303, 0.444725, 0.529141
2,1,0.124412, 0.572368, 0.572503
2,2,0.126693, 0.668293, 0.548594
2,3,0.141958, 0.724908, 0.499574
2,4,0.181667, 0.822705, 0.413035
2,5,0.225097, 0.808817, 0.325118
2,6,0.267203, 0.737294, 0.202884
2,7,0.297981, 0.66951, 0.134564
2,8,0.283758, 0.533714, 0.0584562
2,9,0.255145, 0.381975, 0.036842
3,0,0.106743, 0.509914, 0.623027
3,1,0.14129, 0.642527, 0.660362
3,2,0.151411, 0.741442, 0.63884
3,3,0.197069, 0.771429, 0.585215
3,4,0.261102, 0.863413, 0.486298
3,5,0.31836, 0.852971, 0.378053
3,6,0.373414, 0.792953, 0.24695
3,7,0.408328, 0.773174, 0.155229
3,8,0.410233, 0.656499, 0.0748579
3,9,0.381288, 0.509774, 0.0555631
4,0,0.148563, 0.536121, 0.747745
4,1,0.198195, 0.670439, 0.767416
4,2,0.217776, 0.76362, 0.746486
4,3,0.278608, 0.795657, 0.683255
4,4,0.367428, 0.872389, 0.572171
4,5,0.42648, 0.863928, 0.447507
4,6,0.499405, 0.818347, 0.291951
4,7,0.543272, 0.794229, 0.1884
4,8,0.551785, 0.699635, 0.096296
4,9,0.510698, 0.577779, 0.0693303
5,0,0.20271, 0.465106, 0.82179
5,1,0.270006, 0.599134, 0.828429
5,2,0.321216, 0.697907, 0.82122
5,3,0.386573, 0.773585, 0.774461
5,4,0.512508, 0.868722, 0.663647
5,5,0.571024, 0.834031, 0.516666
5,6,0.658262, 0.789558, 0.350048
5,7,0.696335, 0.756194, 0.24033
5,8,0.701153, 0.671481, 0.142188
5,9,0.64555, 0.575949, 0.103911
6,0,0.32442, 0.359085, 0.837207
6,1,0.396518, 0.450133, 0.857896
6,2,0.460657, 0.530093, 0.855971
6,3,0.518283, 0.600975, 0.815854
6,4,0.624636, 0.698367, 0.707552
6,5,0.680194, 0.71636, 0.569473
6,6,0.759012, 0.686102, 0.397347
6,7,0.78303, 0.653928, 0.278557
6,8,0.795942, 0.581752, 0.171823
6,9,0.738658, 0.504899, 0.126695
7,0,0.378499, 0.273529, 0.870178
7,1,0.472991, 0.349479, 0.878748
7,2,0.554163, 0.415749, 0.881796
7,3,0.611757, 0.4916, 0.84976
7,4,0.725207, 0.585184, 0.746903
7,5,0.778219, 0.619677, 0.605703
7,6,0.837067, 0.598051, 0.43577
7,7,0.866548, 0.568615, 0.312266
7,8,0.860714, 0.484472, 0.20072
7,9,0.806725, 0.419561, 0.135267
8,0,0.450153, 0.182228, 0.838066
8,1,0.553401, 0.245734, 0.876144
8,2,0.636896, 0.304212, 0.886886
8,3,0.701045, 0.382477, 0.856607
8,4,0.808468, 0.478372, 0.76674
8,5,0.846142, 0.526763, 0.630633
8,6,0.875148, 0.509285, 0.463531
8,7,0.884834, 0.462165, 0.330801
8,8,0.873787, 0.38048, 0.21549
8,9,0.798105, 0.331625, 0.152419
9,0,0.472713, 0.125259, 0.792969
9,1,0.610274, 0.157243, 0.845663
9,2,0.682135, 0.207083, 0.872434
9,3,0.752135, 0.289459, 0.84777
9,4,0.839387, 0.361971, 0.758232
9,5,0.867827, 0.394303, 0.613438
9,6,0.860895, 0.373021, 0.435776
9,7,0.858232, 0.352684, 0.313563
9,8,0.819913, 0.310175, 0.228817
9,9,0.740137, 0.250031, 0.147687
